Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
1,Frau,Dr.,Jana,Wolters,21.6.1983,Maximilianstr. 38,66871,Haschbach am Remigiusberg,06381 / 38248195,0168 / 2581569,06381 / 71704765,jana.wolters@mail.xyz,ja
2,Herr,Dr.,Anton,Jimenez,2.6.1993,Gescherweg 160,07806,Dreba,03663 / 377743,0167 / 5405726,03663 / 14175068,a.jimenez@mail.xyz,ja
3,Frau,Dr.,Theresa,Scholz,6.6.1993,Osthuesheide 22,25524,Itzehoe,04821 / 44674457,0160 / 4424502,04821 / 37929861,theresa.scholz@mail.xyz,ja
4,Herr,Dr.,Luis,Heinrich,14.11.1942,Kapellenstr. 74,21358,Mechtersen,04131 / 27565148,0154 / 3594397,04131 / 74390094,luis.heinrich@mail.xyz,ja
5,Herr,Dr.,Julian,Heitmann,5.1.1961,Drachterstr. 174,48565,Steinfurt,02551 / 63252095,0178 / 6039245,02551 / 25771898,j.heitmann@mail.xyz,ja
6,Herr,Dr.,Justin,Jablonski,20.4.1956,Am Wigbold 170,64850,Schaafheim,06073 / 19645224,0158 / 1073650,06073 / 4111288,justin.jablonski@mail.xyz,ja
7,Frau,Prof.,Ingrid,Singh,9.4.1959,Dammstr. 39,25836,Garding,04862 / 77196621,0179 / 6972509,04862 / 3693398,ingrid.singh@mail.xyz,ja
8,Frau,Dr.,Jaqueline,Rupprecht,14.2.1940,Goebenstr. 176,25548,Kellinghusen,04822 / 43192535,0179 / 7622055,04822 / 65164723,j.rupprecht@mail.xyz,ja
9,Frau,Dr.,Alexandra,Dahlke,18.8.1986,Schmeddingstr. 153,38446,Wolfsburg,05361 / 49637893,0171 / 5140555,05361 / 4149822,alexandra.dahlke@mail.xyz,ja
10,Herr,Dr.,Conner,Baldwin,23.3.1922,Idenbrockplatz 16,46459,Rees,02851 / 20897511,0157 / 3626427,02851 / 57483170,conner.baldwin@mail.xyz,ja
11,Herr,Dr.,Jörg,Schaub,11.2.1928,Ossenkampstiege 44,91235,Velden,09152 / 45669620,0171 / 2000252,09152 / 93755395,joerg.schaub@mail.xyz,ja
12,Herr,Dr.,Gerhardt,Weber,1.5.1956,Salzmannstr. 158,28359,Bremen,0421 / 22222269,0159 / 8559940,0421 / 75207587,gerhardt.weber@mail.xyz,ja
13,Frau,Dr.,Frieda,Ahrens,26.4.1946,Baumberger Str. 48,25572,Kudensee,04823 / 56376851,0170 / 1724865,04823 / 91639942,frieda.ahrens@mail.xyz,ja
14,Herr,Dr.,Ralph,Widmann,1.5.1971,Am Blütenhain 11,37647,Polle,05535 / 41182084,0168 / 8806571,05535 / 43394260,ralph.widmann@mail.xyz,ja
